STT,Mã hồ sơ,Nhóm trạng thái,Trạng thái chi tiết,Số bản ghi hiện tại,Kiểm chứng 10%,Bản ghi giữ lại (#1),Thời gian cập nhật
1,H31.05.02.H31.09.2005.281,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:31
2,H31.05.02.H31.09.2005.282,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2005 (từ số 01 - 36),2026-09-21 14:04:10
3,H31.05.02.H31.09.2005.283,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:35
4,H31.05.02.H31.09.2005.284,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:38
5,H31.05.02.H31.09.2005.285,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:40
6,H31.05.02.H31.09.2005.286,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:43
7,H31.05.02.H31.09.2005.287,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:45
8,H31.05.02.H31.09.2005.288,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:47
9,H31.05.02.H31.09.2005.289,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:50
10,H31.05.02.H31.09.2006.290,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:52
11,H31.05.02.H31.09.2006.291,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:54
12,H31.05.02.H31.09.2006.292,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2006 (từ số 01 - 54),2026-09-21 12:03:44
13,H31.05.02.H31.09.2006.293,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:54:59
14,H31.05.02.H31.09.2006.294,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:02
15,H31.05.02.H31.09.2006.295,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:04
16,H31.05.02.H31.09.2006.296,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:06
17,H31.05.02.H31.09.2006.297,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:09
18,H31.05.02.H31.09.2006.298,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:11
19,H31.05.02.H31.09.2006.299,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:13
20,H31.05.02.H31.09.2006.300,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:16
21,H31.05.02.H31.09.2007.301,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Hồ sơ Tập lưu Quyết định, Kết luận của Sở Xây dựng tỉnh Hưng Yên năm 2007 (từ số 01 - 59)",2026-09-21 14:04:15
22,H31.05.02.H31.09.2007.302,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:21
23,H31.05.02.H31.09.2007.303,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:23
24,H31.05.02.H31.09.2007.304,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:25
25,H31.05.02.H31.09.2007.305,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:28
26,H31.05.02.H31.09.2007.306,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:30
27,H31.05.02.H31.09.2007.307,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:32
28,H31.05.02.H31.09.2007.308,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:39
29,H31.05.02.H31.09.2007.309,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:45
30,H31.05.02.H31.09.2008.310,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:51
31,H31.05.02.H31.09.2008.311,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:55:57
32,H31.05.02.H31.09.2008.312,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2008 (từ số 01 - 58),2026-09-21 14:04:19
33,H31.05.02.H31.09.2008.313,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:56:09
34,H31.05.02.H31.09.2008.314,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:56:15
35,H31.05.02.H31.09.2008.315,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:56:21
36,H31.05.02.H31.09.2008.316,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:56:27
37,H31.05.02.H31.09.2008.317,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2008 (từ số 271 - 365),2026-09-21 12:03:49
38,H31.05.02.H31.09.2008.318,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:56:39
39,H31.05.02.H31.09.2008.319,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:56:45
40,H31.05.02.H31.09.2008.320,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:56:51
41,H31.05.02.H31.09.2008.321,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2008. (từ số 52 - 124),2026-09-21 12:03:52
42,H31.05.02.H31.09.2008.322,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:57:03
43,H31.05.02.H31.09.2008.323,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:57:09
44,H31.05.02.H31.09.2008.324,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:57:15
45,H31.05.02.H31.09.2008.325,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:57:21
46,H31.05.02.H31.09.2009.326,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:57:27
47,H31.05.02.H31.09.2009.327,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ 01-79),2026-09-21 12:03:55
